id,task,context,actions_needed,constraints,expected_result,difficulty,brain_zone,neural_analog
tefb_plan_0329,Multi-Step Planning,You need to open the file 'data.txt' and read its contents.,1,File exists and is readable,File contents read successfully,3.0,cortex,Cortex GoldenChain executes 28-link agentic pipeline with role-based coordination
tefb_memory_0364,Working Memory Span,"Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",21,Maintain 21 items in working memory,"Groups calculated, medians found, totals computed",648.081,dlpfc,DLPFC maintains items with Fibonacci capacity scaling
tefb_plan_0158,Multi-Step Planning,"Create a multi-stage CI/CD pipeline that builds, tests, deploys, and monitors.",8,"All stages work, rollback functional, monitoring active",Complete CI/CD pipeline with all stages,246.888,cortex,Cortex GoldenChain executes 28-link agentic pipeline with role-based coordination
tefb_plan_0246,Multi-Step Planning,User wants to convert a CSV file to JSON. The CSV has headers.,2,"Valid CSV format, all rows converted",JSON object with all data,11.0102,cortex,Cortex GoldenChain executes 28-link agentic pipeline with role-based coordination
tefb_stroop_0080,Stroop-like Inhibition,"Automatic response: Color of word: RED
Instruction: Read the word, ignore its meaning
Target: Shape of letters",1,Inhibit automatic response,"Inhibit color response, report shape (e.g., 'straight lines')",3.0,pallidus,Pallidus OFC.checkDestructiveness() inhibits impulsive actions
tefb_stroop_0067,Stroop-like Inhibition,"Automatic response: Sequence: UP, UP, UP
Instruction: When you see UP, press DOWN
Target: Counter-factual response",3,Inhibit automatic response,Press DOWN (inhibit pattern matching),29.0943,pallidus,Pallidus OFC.checkDestructiveness() inhibits impulsive actions
tefb_wisco_0431,Wisconsin Card Sort,"Cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'green', 'shape': 'triangle', 'size': 'large'}]
Correct sort: color
Feedback: Wrong. New sorting required.
New cards: [{'color': 'green', 'shape': 'triangle', 'size': 'small'}, {'color': 'yellow', 'shape': 'triangle', 'size': 'small'}]",2,Discover new rule from feedback,Discover shape-based sorting,11.0102,striatum,Striatum Experience Engine adapts patterns based on feedback
tefb_conflict_0186,Conflicting Instructions,"Instruction 1: Be concise (under 10 words)
Instruction 2: Be thorough and detailed
Input: Explain quantum entanglement",2,Resolve conflict according to context,Balanced response (detailed enough but not verbose),11.0102,nigra,NIGRA + ACC.verifySafeToAction() resolves action conflicts
tefb_wisco_0168,Wisconsin Card Sort,"Cards: [{'color': 'red', 'shape': 'circle', 'number': 1}, {'color': 'red', 'shape': 'circle', 'number': 2}, {'color': 'red', 'shape': 'circle', 'number': 3}]
Correct sort: number
Feedback: Wrong. Try another rule.
New cards: [{'color': 'red', 'shape': 'circle', 'number': 4}]",5,Discover new rule from feedback,Adapt to new rule (shape),86.75750000000001,striatum,Striatum Experience Engine adapts patterns based on feedback
tefb_memory_0314,Working Memory Span,"Data: ['item_0', 'item_1', 'item_2', 'item_3', 'item_4', 'item_5', 'item_6', 'item_7', 'item_8', 'item_9', 'item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20']
Operations: Categorize items by letter count, sort alphabetically within groups, find median of each group, report total of medians",21,Maintain 21 items in working memory,"Groups calculated, medians found, totals computed",648.081,dlpfc,DLPFC maintains items with Fibonacci capacity scaling
